"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","New Jersey Devils","20","968.2167","12","6","2","12","26","0.650","931","935","49.89","652","674","49.17","449","445","50.22","42","38","52.50","41.25","38.79","51.53","431","404","51.62","238","211","53.01","39","31","55.71","16.39","85.31","178","169","51.30","114","107","51.58","21","22","48.84","18.42","79.44","253","235","51.84","124","104","54.39","18","9","66.67","14.52","91.35","540","575","48.43","190","208","47.74","3","7","30.00","1.58","96.63","9.35","91.46","1.008"
"2","Buffalo Sabres","17","797.6167","8","8","1","7","17","0.500","798","735","52.05","558","527","51.43","352","377","48.29","41","35","53.95","29.54","30.16","49.48","344","344","50.00","162","197","45.13","34","32","51.52","20.99","83.76","132","135","49.44","72","89","44.72","19","19","50.00","26.39","78.65","212","209","50.36","90","108","45.45","15","13","53.57","16.67","87.96","473","451","51.19","167","158","51.38","7","3","70.00","4.19","98.10","11.65","90.72","1.024"
"3","St Louis Blues","17","835.7667","7","9","1","7","15","0.441","756","853","46.99","512","608","45.71","357","417","46.12","32","44","42.11","29.57","36.37","44.85","341","406","45.65","181","201","47.38","26","33","44.07","14.36","83.58","131","158","45.33","86","97","46.99","13","21","38.24","15.12","78.35","210","248","45.85","95","104","47.74","13","12","52.00","13.68","88.46","453","501","47.48","158","190","45.40","6","11","35.29","3.80","94.21","8.96","89.45","0.984"
"4","Seattle Kraken","17","799.35","8","8","1","7","17","0.500","772","805","48.95","552","554","49.91","357","373","48.90","32","33","49.23","29.28","33.54","46.61","330","357","48.03","163","189","46.31","28","29","49.12","17.18","84.66","136","143","48.75","77","94","45.03","19","21","47.50","24.68","77.66","194","214","47.55","86","95","47.51","9","8","52.94","10.47","91.58","470","494","48.76","171","160","51.66","4","4","50.00","2.34","97.50","8.96","91.15","1.001"
"5","Boston Bruins","18","810.7167","8","8","2","8","18","0.500","719","771","48.26","503","556","47.50","341","383","47.10","29","29","50.00","33.16","32.57","50.44","348","341","50.51","177","178","49.86","26","25","50.98","14.69","85.96","131","129","50.38","87","86","50.29","14","17","45.16","16.09","80.23","217","212","50.58","90","92","49.45","12","8","60.00","13.33","91.30","400","450","47.06","144","178","44.72","3","4","42.86","2.08","97.75","8.50","92.43","1.009"
"6","Florida Panthers","17","820.0833","11","5","1","10","23","0.676","834","728","53.39","592","554","51.66","403","366","52.41","41","38","51.90","35.39","32.75","51.94","361","320","53.01","198","175","53.08","32","32","50.00","16.16","81.71","134","147","47.69","91","92","49.73","20","19","51.28","21.98","79.35","227","173","56.75","107","83","56.32","12","13","48.00","11.21","84.34","519","437","54.29","183","161","53.20","9","6","60.00","4.92","96.27","10.17","89.62","0.998"
"7","Chicago Blackhawks","17","821.9833","6","10","1","5","13","0.382","741","899","45.18","522","601","46.48","364","398","47.77","26","30","46.43","29.93","37.23","44.56","305","397","43.45","168","196","46.15","23","29","44.23","13.69","85.20","116","164","41.43","76","110","40.86","15","21","41.67","19.74","80.91","189","233","44.79","92","86","51.69","8","8","50.00","8.70","90.70","477","560","46.00","181","172","51.27","3","1","75.00","1.66","99.42","7.14","92.46","0.996"
"8","Utah Hockey Club","17","817.0667","7","7","3","7","17","0.500","860","730","54.09","583","531","52.33","363","379","48.92","33","30","52.38","34.58","32.8","51.32","364","314","53.69","185","176","51.25","25","24","51.02","13.51","86.36","135","126","51.72","91","87","51.12","16","12","57.14","17.58","86.21","229","188","54.92","94","89","51.37","9","12","42.86","9.57","86.52","519","450","53.56","158","183","46.33","8","5","61.54","5.06","97.27","9.09","92.08","1.012"
"9","Toronto Maple Leafs","18","835.1167","10","6","2","10","22","0.611","823","833","49.70","578","569","50.39","403","387","51.01","33","27","55.00","35.27","32.99","51.67","374","352","51.52","207","182","53.21","30","22","57.69","14.49","87.91","153","124","55.23","110","75","59.46","21","11","65.63","19.09","85.33","221","228","49.22","97","107","47.55","9","11","45.00","9.28","89.72","487","497","49.49","173","182","48.73","3","5","37.50","1.73","97.25","8.19","93.02","1.012"
"10","Montreal Canadiens","17","782.8167","5","10","2","5","12","0.353","696","861","44.70","463","600","43.56","313","390","44.52","30","48","38.46","30.28","41.18","42.38","354","404","46.70","180","202","47.12","25","35","41.67","13.89","82.67","122","170","41.78","79","101","43.89","15","19","44.12","18.99","81.19","232","234","49.79","101","101","50.00","10","16","38.46","9.90","84.16","368","465","44.18","111","165","40.22","5","13","27.78","4.50","92.12","9.58","87.69","0.973"
"11","New York Rangers","15","716.8","10","4","1","10","21","0.700","708","764","48.10","533","556","48.94","358","381","48.44","35","26","57.38","36.58","33.86","51.93","362","362","50.00","199","204","49.38","27","23","54.00","13.57","88.73","153","148","50.83","108","100","51.92","17","15","53.13","15.74","85.00","209","214","49.41","91","104","46.67","10","8","55.56","10.99","92.31","377","427","46.89","142","163","46.56","7","3","70.00","4.93","98.16","9.78","93.18","1.030"
"12","Pittsburgh Penguins","19","930.95","6","10","3","6","15","0.395","1030","959","51.78","728","705","50.80","487","504","49.14","35","56","38.46","49.94","46.27","51.91","469","471","49.89","237","287","45.23","28","43","39.44","11.81","85.02","221","211","51.16","135","154","46.71","21","27","43.75","15.56","82.47","248","260","48.82","102","133","43.40","7","16","30.43","6.86","87.97","583","522","52.76","227","183","55.37","7","13","35.00","3.08","92.90","7.19","88.89","0.961"
"13","Winnipeg Jets","17","849.8","15","2","0","15","30","0.882","823","857","48.99","607","630","49.07","427","412","50.89","40","28","58.82","35.37","37.21","48.73","363","379","48.92","190","199","48.84","32","24","57.14","16.84","87.94","144","147","49.48","96","93","50.79","18","13","58.06","18.75","86.02","219","232","48.56","94","106","47.00","14","11","56.00","14.89","89.62","505","518","49.36","201","192","51.15","8","4","66.67","3.98","97.92","9.37","93.20","1.026"
"14","Edmonton Oilers","17","859.55","9","7","1","9","19","0.559","960","727","56.91","686","518","56.98","479","359","57.16","32","32","50.00","43.14","32.5","57.03","465","353","56.85","250","185","57.47","25","28","47.17","10.00","84.86","184","121","60.33","127","70","64.47","16","14","53.33","12.60","80.00","281","232","54.78","123","115","51.68","9","14","39.13","7.32","87.83","566","409","58.05","201","156","56.30","7","4","63.64","3.48","97.44","6.68","91.09","0.978"
"15","Calgary Flames","18","870.8833","9","6","3","8","21","0.583","874","916","48.83","599","626","48.90","406","435","48.28","31","25","55.36","33.04","36.71","47.37","388","410","48.62","201","207","49.26","25","20","55.56","12.44","90.34","141","143","49.65","86","89","49.14","13","15","46.43","15.12","83.15","247","267","48.05","115","118","49.36","12","5","70.59","10.43","95.76","507","577","46.77","180","197","47.75","6","5","54.55","3.33","97.46","7.64","94.25","1.019"
"16","Vancouver Canucks","15","715.4667","8","4","3","8","19","0.633","713","643","52.58","507","479","51.42","337","320","51.29","35","33","51.47","30.26","25.17","54.59","308","268","53.47","162","142","53.29","29","26","52.73","17.90","81.69","129","110","53.97","85","68","55.56","18","16","52.94","21.18","76.47","179","158","53.12","77","74","50.99","11","10","52.38","14.29","86.49","441","411","51.76","143","154","48.15","6","7","46.15","4.20","95.45","10.39","89.69","1.001"
"17","Colorado Avalanche","18","874.7","9","9","0","9","18","0.500","927","777","54.40","620","530","53.91","417","354","54.09","32","41","43.84","37.81","33.22","53.23","436","341","56.11","219","171","56.15","24","36","40.00","10.96","78.95","166","157","51.39","119","99","54.59","15","27","35.71","12.61","72.73","270","184","59.47","100","72","58.14","9","9","50.00","9.00","87.50","535","465","53.50","174","158","52.41","8","5","61.54","4.60","96.84","7.67","88.42","0.961"
"18","Vegas Golden Knights","17","864.7167","11","4","2","11","24","0.706","837","963","46.50","620","684","47.55","451","435","50.90","49","43","53.26","38","44.43","46.10","380","433","46.74","221","215","50.69","45","35","56.25","20.36","83.72","154","179","46.25","104","101","50.73","26","19","57.78","25.00","81.19","226","254","47.08","117","114","50.65","19","16","54.29","16.24","85.96","498","545","47.75","199","199","50.00","4","8","33.33","2.01","95.98","10.86","90.11","1.010"
"19","Los Angeles Kings","18","833.9333","9","6","3","9","21","0.583","846","757","52.78","601","518","53.71","394","342","53.53","40","31","56.34","36.55","29.38","55.44","368","338","52.12","176","172","50.57","32","26","55.17","18.18","84.88","154","130","54.23","92","82","52.87","23","16","58.97","25.00","80.49","214","208","50.71","84","90","48.28","9","10","47.37","10.71","88.89","497","430","53.61","195","150","56.52","8","5","61.54","4.10","96.67","10.15","90.94","1.011"
"20","Ottawa Senators","16","761.7","8","7","1","8","17","0.531","811","684","54.25","586","462","55.92","411","320","56.22","31","34","47.69","31.48","26.79","54.03","346","325","51.56","196","174","52.97","28","26","51.85","14.29","85.06","113","114","49.78","80","80","50.00","12","18","40.00","15.00","77.50","233","211","52.48","116","94","55.24","16","8","66.67","13.79","91.49","472","375","55.73","190","124","60.51","3","8","27.27","1.58","93.55","7.54","89.38","0.969"
"21","Detroit Red Wings","16","792.9833","7","8","1","7","15","0.469","696","835","45.46","496","590","45.67","321","397","44.71","20","28","41.67","28.51","32.2","46.96","314","361","46.52","166","181","47.84","19","15","55.88","11.45","91.71","113","126","47.28","70","74","48.61","10","10","50.00","14.29","86.49","201","235","46.10","96","107","47.29","9","5","64.29","9.38","95.33","418","503","45.39","134","188","41.61","1","13","7.14","0.75","93.09","6.23","92.95","0.992"
"22","New York Islanders","17","847","7","6","4","5","18","0.529","833","824","50.27","604","582","50.93","406","397","50.56","31","27","53.45","34.84","32.79","51.52","379","378","50.07","213","206","50.84","29","23","55.77","13.62","88.83","151","151","50.00","98","106","48.04","23","14","62.16","23.47","86.79","228","227","50.11","115","100","53.49","6","9","40.00","5.22","91.00","497","456","52.15","171","164","51.04","2","4","33.33","1.17","97.56","7.64","93.20","1.008"
"23","Dallas Stars","15","706.1833","10","5","0","9","20","0.667","719","631","53.26","504","467","51.91","356","306","53.78","34","22","60.71","32.27","30.39","51.50","338","304","52.65","192","155","55.33","29","19","60.42","15.10","87.74","146","122","54.48","102","74","57.95","17","11","60.71","16.67","85.14","192","182","51.34","90","81","52.63","12","8","60.00","13.33","90.12","414","363","53.28","143","134","51.62","5","3","62.50","3.50","97.76","9.55","92.81","1.024"
"24","Nashville Predators","18","834.5333","5","10","3","5","13","0.361","831","807","50.73","590","592","49.92","393","411","48.88","19","41","31.67","34.05","35.35","49.07","370","375","49.66","179","209","46.13","17","33","34.00","9.50","84.21","153","146","51.17","82","109","42.93","13","20","39.39","15.85","81.65","217","229","48.65","97","100","49.24","4","13","23.53","4.12","87.00","520","472","52.42","188","179","51.23","2","8","20.00","1.06","95.53","4.83","90.02","0.949"
"25","Columbus Blue Jackets","16","783.4667","6","8","2","6","14","0.438","826","757","52.18","587","542","51.99","393","350","52.89","40","39","50.63","36.76","33.36","52.42","364","341","51.63","204","175","53.83","34","31","52.31","16.67","82.29","151","154","49.51","103","105","49.52","21","22","48.84","20.39","79.05","213","187","53.25","101","70","59.06","13","9","59.09","12.87","87.14","493","436","53.07","168","162","50.91","6","8","42.86","3.57","95.06","10.18","88.86","0.990"
"26","Minnesota Wild","16","783.2333","11","2","3","11","25","0.781","708","727","49.34","500","506","49.70","353","332","51.53","36","21","63.16","27.26","26.17","51.02","296","310","48.84","155","156","49.84","25","21","54.35","16.13","86.54","120","111","51.95","79","67","54.11","14","11","56.00","17.72","83.58","176","199","46.93","76","89","46.06","11","10","52.38","14.47","88.76","443","443","50.00","175","155","53.03","11","0","100.00","6.29","100.00","10.20","93.67","1.039"
