"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"118","Yaniv Perets","CAR","G","1","12.766666666667","13","1","92.86","7","1","87.50","5","1","83.33","1","0","100.00","0.51","0.04","92.98","5","1","83.33","1","0","100.00","1","0","100.00","4","1","80.00","0","0","-","13","0","100.00","0","0","-","20.00","100.00","1.200","0","2","0","0","-","7","6","0","100.00"
"41","Antti Raanta","CAR","G","24","1265.1833333333","1544","946","62.01","1097","708","60.78","708","493","58.95","67","63","51.54","71.94","50.92","58.56","659","483","57.71","271","219","55.31","35","34","50.72","388","264","59.51","18","23","43.90","998","526","65.49","13","6","68.42","9.46","87.22","0.967","7","75","2","0","77.78","527","376","352","59.95"
"46","Spencer Martin","CAR","G","6","365","434","312","58.18","316","225","58.41","209","154","57.58","21","16","56.76","22.71","16.33","58.17","204","157","56.51","91","79","53.53","10","9","52.63","113","78","59.16","5","5","50.00","252","157","61.61","5","2","71.43","10.05","89.61","0.997","0","19","0","0","-","115","100","105","52.27"
"24","Frederik Andersen","CAR","G","18","1030.5","1209","881","57.85","885","660","57.28","592","457","56.43","63","31","67.02","60.39","47.47","55.99","529","428","55.28","214","187","53.37","22","14","61.11","315","241","56.65","25","13","65.79","783","516","60.28","15","4","78.95","10.64","93.22","1.039","7","59","0","0","100.00","383","317","328","53.87"
"104","Pyotr Kochetkov","CAR","G","43","2431.4833333333","2701","1978","57.73","1917","1462","56.73","1260","1057","54.38","128","94","57.66","132.92","97.28","57.74","1237","903","57.80","501","379","56.93","67","47","58.77","736","524","58.41","37","35","51.39","1633","1236","56.92","20","11","64.52","10.16","91.11","1.013","13","142","1","0","92.86","846","725","790","51.71"
"20","Scott Wedgewood","NSH","G","1","57.066666666667","60","46","56.60","49","29","62.82","33","20","62.26","2","4","33.33","2.66","1.86","58.88","22","22","50.00","7","7","50.00","1","0","100.00","15","15","50.00","1","3","25.00","50","26","65.79","0","1","0.00","6.06","80.00","0.861","1","4","0","0","100.00","25","15","15","62.50"
"35","Anthony Stolarz","FLA","G","27","1506.45","1721","1331","56.39","1177","1022","53.52","820","684","54.52","83","51","61.94","93.35","72.25","56.37","836","613","57.69","357","299","54.42","40","30","57.14","479","314","60.40","28","13","68.29","980","788","55.43","9","8","52.94","10.12","92.54","1.027","8","88","1","0","88.89","519","430","444","53.89"
"17","Calvin Pickard","EDM","G","27","1507.2166666667","1631","1268","56.26","1179","902","56.66","827","635","56.57","80","61","56.74","91.11","57.39","61.35","822","600","57.81","366","220","62.46","45","28","61.64","456","380","54.55","17","24","41.46","940","761","55.26","18","9","66.67","9.67","90.39","1.001","10","89","2","0","83.33","520","407","447","53.77"
"16","Sergei Bobrovsky","FLA","G","62","3654.95","4013","3250","55.25","2852","2402","54.28","1996","1702","53.98","189","147","56.25","202.13","155.1","56.58","1823","1471","55.34","767","619","55.34","89","79","52.98","1056","852","55.35","56","42","57.14","2461","1990","55.29","39","26","60.00","9.47","91.36","1.008","15","208","2","0","88.24","1289","1082","1153","52.78"
"103","Mads Sogaard","OTT","G","7","316.05","356","290","55.11","256","197","56.51","174","152","53.37","17","23","42.50","18.22","11.72","60.85","177","129","57.84","74","48","60.66","7","10","41.18","103","81","55.98","8","7","53.33","207","174","54.33","2","6","25.00","9.77","84.87","0.946","3","23","1","0","75.00","111","100","100","52.61"
"61","Felix Sandstrom","PHI","G","5","263.48333333333","280","231","54.79","195","150","56.52","134","96","58.26","9","17","34.62","12.76","11.01","53.68","126","113","52.72","49","51","49.00","4","7","36.36","77","62","55.40","3","8","27.27","175","128","57.76","1","2","33.33","6.72","82.29","0.890","2","17","1","0","66.67","92","81","63","59.35"
"105","Arturs Silovs","VAN","G","6","363.18333333333","377","312","54.72","270","224","54.66","167","136","55.12","17","19","47.22","21.16","14.89","58.70","178","139","56.15","81","63","56.25","10","8","55.56","97","76","56.07","3","5","37.50","242","202","54.50","4","6","40.00","10.18","86.03","0.962","3","22","0","0","100.00","119","107","119","50.00"
"82","Stuart Skinner","EDM","G","62","3510.8333333333","3723","3164","54.06","2698","2317","53.80","1901","1624","53.93","202","158","56.11","208.72","160.24","56.57","1913","1600","54.45","860","635","57.53","114","81","58.46","1053","965","52.18","47","49","48.96","2182","1823","54.48","36","28","56.25","10.63","90.27","1.009","31","206","2","0","93.94","1226","996","1100","52.71"
"48","Pheonix Copley","L.A","G","9","463.76666666667","452","388","53.81","328","278","54.13","229","189","54.78","29","25","53.70","24.97","20.89","54.45","225","200","52.94","90","79","53.25","14","13","51.85","135","121","52.73","11","9","55.00","263","232","53.13","4","3","57.14","12.66","86.77","0.994","6","27","0","0","100.00","161","143","147","52.27"
"100","Akira Schmid","N.J","G","19","914.15","964","830","53.73","650","635","50.58","450","457","49.61","39","48","44.83","47.3","43.77","51.94","480","407","54.11","183","187","49.46","17","24","41.46","297","220","57.45","17","16","51.52","554","476","53.79","5","8","38.46","8.67","89.50","0.982","6","64","1","0","85.71","316","264","301","51.22"
"65","Ilya Samsonov","VGK","G","1","60","71","62","53.38","55","39","58.51","32","23","58.18","3","1","75.00","4.45","3.19","58.24","41","29","58.57","21","14","60.00","3","0","100.00","20","15","57.14","0","1","0.00","40","34","54.05","0","0","-","9.38","95.65","1.050","0","3","0","0","-","21","11","11","65.63"
"108","Yaroslav Askarov","NSH","G","2","81.666666666667","91","80","53.22","66","55","54.55","44","35","55.70","2","2","50.00","4.59","3.82","54.60","47","44","51.65","18","20","47.37","1","1","50.00","29","24","54.72","1","1","50.00","55","41","57.29","0","0","-","4.55","94.29","0.988","0","6","0","0","-","30","16","23","56.60"
"19","Scott Wedgewood","DAL","G","32","1789.1333333333","1908","1680","53.18","1327","1217","52.16","941","844","52.72","102","85","54.55","92.38","74.78","55.26","915","744","55.15","363","279","56.54","59","41","59.00","552","465","54.28","27","31","46.55","1132","1066","51.50","13","13","50.00","10.84","89.93","1.008","10","109","1","0","90.91","613","541","614","49.96"
"51","Vitek Vanecek","N.J","G","32","1791.8166666667","1846","1638","52.99","1307","1211","51.91","930","862","51.90","105","95","52.50","97.57","81.83","54.39","877","784","52.80","363","319","53.23","56","62","47.46","514","465","52.50","31","20","60.78","1081","909","54.32","14","13","51.85","11.29","88.98","1.003","15","107","1","0","93.75","572","528","530","51.91"
"113","Jesper Wallstedt","MIN","G","3","179.28333333333","187","166","52.97","137","119","53.52","97","87","52.72","12","9","57.14","7.91","6.14","56.31","94","71","56.97","25","20","55.56","4","4","50.00","69","51","57.50","5","3","62.50","104","117","47.06","3","2","60.00","12.37","89.66","1.020","1","9","0","0","100.00","60","58","60","50.00"
"95","Kevin Lankinen","VAN","G","2","127.15","126","112","52.94","91","81","52.91","59","59","50.00","5","4","55.56","5.55","5.94","48.32","57","47","54.81","23","20","53.49","2","1","66.67","34","27","55.74","2","2","50.00","70","78","47.30","1","1","50.00","8.47","93.22","1.017","0","8","0","0","-","37","36","52","41.57"
"94","Kevin Lankinen","NSH","G","24","1191.4166666667","1290","1148","52.91","961","830","53.66","682","609","52.83","69","56","55.20","69.68","58.78","54.24","631","567","52.67","257","226","53.21","38","29","56.72","374","341","52.31","17","14","54.84","750","674","52.67","9","13","40.91","10.12","90.80","1.009","8","69","1","0","88.89","427","348","371","53.51"
"81","David Rittich","L.A","G","26","1456.8833333333","1495","1345","52.64","1096","967","53.13","757","662","53.35","68","54","55.74","74.03","66.67","52.62","690","657","51.22","253","265","48.84","27","31","46.55","437","392","52.71","27","15","64.29","895","804","52.68","12","8","60.00","8.98","91.84","1.008","15","82","1","0","93.75","466","384","437","51.61"
"92","Alexandar Georgiev","COL","G","68","3878.55","4117","3707","52.62","2940","2680","52.31","2072","1876","52.48","232","202","53.46","208.92","187.51","52.70","1985","1722","53.55","834","764","52.19","116","111","51.10","1151","958","54.58","69","52","57.02","2436","2246","52.03","38","39","49.35","11.20","89.23","1.004","20","223","1","0","95.24","1355","1106","1228","52.46"
"98","Justus Annunen","COL","G","16","852.23333333333","934","843","52.56","676","616","52.32","485","431","52.95","54","34","61.36","44.36","43.35","50.58","444","390","53.24","186","181","50.68","23","20","53.49","258","209","55.25","18","10","64.29","569","536","51.49","11","4","73.33","11.13","92.11","1.032","4","52","1","0","80.00","300","233","320","48.39"
"107","Nico Daws","N.J","G","21","1144.05","1242","1136","52.23","888","837","51.48","626","568","52.43","61","60","50.41","65.02","57.34","53.14","559","535","51.10","233","242","49.05","29","32","47.54","326","293","52.67","19","17","52.78","780","661","54.13","12","11","52.17","9.74","89.44","0.992","12","65","1","0","92.31","384","339","356","51.89"
"69","Ivan Fedotov","PHI","G","5","219.75","248","230","51.88","181","158","53.39","122","108","53.04","10","20","33.33","11.11","10.88","50.54","115","118","49.36","45","44","50.56","4","9","30.77","70","74","48.61","2","9","18.18","150","119","55.76","4","2","66.67","8.20","81.48","0.897","3","17","0","0","100.00","72","69","60","54.55"
"44","Tristan Jarry","PIT","G","54","2872.1833333333","3118","2897","51.84","2211","2157","50.62","1545","1440","51.76","134","145","48.03","166.7","145.87","53.33","1502","1404","51.69","655","564","53.73","67","84","44.37","847","840","50.21","29","39","42.65","1850","1665","52.63","35","21","62.50","8.67","89.93","0.986","29","170","4","0","87.88","941","812","963","49.42"
"106","Dustin Wolf","CGY","G","19","1069.0833333333","1150","1069","51.83","807","753","51.73","550","539","50.51","59","54","52.21","56.65","45.35","55.54","555","493","52.96","237","169","58.37","30","25","54.55","318","324","49.53","16","20","44.44","672","669","50.11","11","9","55.00","10.73","89.98","1.007","10","65","0","0","100.00","368","324","365","50.20"
"15","Cam Talbot","L.A","G","54","3116.1166666667","3245","3019","51.80","2385","2137","52.74","1634","1490","52.30","154","130","54.23","162.62","140.36","53.67","1456","1377","51.39","599","553","52.00","81","65","55.48","857","824","50.98","39","41","48.75","1991","1874","51.51","29","24","54.72","9.42","91.28","1.007","18","183","0","0","100.00","1013","856","1049","49.13"
"21","Philipp Grubauer","SEA","G","39","2172.3166666667","2215","2075","51.63","1537","1487","50.83","1034","1014","50.49","90","104","46.39","101.54","97.64","50.98","1041","955","52.15","387","398","49.30","43","54","44.33","654","557","54.00","25","30","45.45","1309","1292","50.33","22","20","52.38","8.70","89.74","0.984","14","126","1","0","93.33","726","582","618","54.02"
"83","Jake Oettinger","DAL","G","57","3268.4333333333","3386","3174","51.62","2474","2294","51.89","1653","1573","51.24","187","145","56.33","183.2","144.82","55.85","1691","1443","53.96","717","589","54.90","92","80","53.49","974","854","53.28","67","44","60.36","1966","1971","49.94","23","21","52.27","11.31","90.78","1.021","21","183","1","0","95.45","1079","910","1153","48.34"
"86","Matt Villalta","ARI","G","2","71.966666666667","66","62","51.56","50","48","51.02","27","29","48.21","3","5","37.50","2.25","2.79","44.69","30","35","46.15","8","11","42.11","0","2","0.00","22","24","47.83","1","3","25.00","38","38","50.00","2","0","100.00","11.11","82.76","0.939","1","4","0","0","100.00","21","16","21","50.00"
