,Player,Team,Position,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
27,Pheonix Copley,L.A,G,1,27.48333333,30,16,65.22,20,12,62.5,14,12,53.85,2,2,50,1.61,0.91,63.87,11,8,57.89,7,5,58.33,1,1,50,4,3,57.14,1,0,100,21,9,70,0,1,0,14.29,83.33,0.976,2,1,0,0,100,13,7,6,68.42
14,Frederik Andersen,CAR,G,4,242.4333333,299,185,61.78,217,138,61.13,131,101,56.47,12,6,66.67,16.92,11.94,58.63,158,100,61.24,63,55,53.39,6,3,66.67,95,45,67.86,4,2,66.67,176,104,62.86,1,1,50,9.16,94.06,1.032,3,16,0,0,100,94,75,65,59.12
10,Calvin Pickard,EDM,G,7,384.95,437,283,60.69,308,194,61.35,213,145,59.5,17,16,51.52,21.13,11.89,63.99,219,137,61.52,82,43,65.6,7,6,53.85,137,94,59.31,4,8,33.33,257,165,60.9,6,2,75,7.98,88.97,0.969,6,21,1,0,85.71,155,103,103,60.08
33,Ville Husso,DET,G,2,85.01666667,111,73,60.33,80,53,60.15,52,37,58.43,1,7,12.5,4.77,3.48,57.81,61,34,64.21,19,12,61.29,0,4,0,42,22,65.63,1,0,100,62,44,58.49,0,3,0,1.92,81.08,0.83,0,6,0,0,-,39,23,24,61.9
67,Mads Sogaard,OTT,G,1,34.48333333,47,32,59.49,37,23,61.67,27,17,61.36,7,4,63.64,2.64,1.36,66.1,27,14,65.85,9,5,64.29,1,2,33.33,18,9,66.67,5,1,83.33,25,19,56.82,1,1,50,25.93,76.47,1.024,0,3,0,0,-,18,16,7,72
34,Kaapo Kahkonen,COL,G,1,58.26666667,66,45,59.46,46,33,58.23,35,20,63.64,2,4,33.33,3.51,2.52,58.18,33,22,60,16,10,61.54,0,2,0,17,12,58.62,1,2,33.33,36,21,63.16,1,0,100,5.71,80,0.857,1,4,0,0,100,20,21,6,76.92
68,Pyotr Kochetkov,CAR,G,10,585.2666667,681,488,58.25,512,350,59.4,345,242,58.77,43,25,63.24,37.27,26.55,58.4,336,236,58.74,141,105,57.32,19,8,70.37,195,131,59.82,11,9,55,418,288,59.21,11,8,57.89,12.46,89.67,1.021,2,32,1,0,66.67,252,178,192,56.76
26,Spencer Martin,CAR,G,2,69.3,78,58,57.35,60,44,57.69,40,31,56.34,4,6,40,4.45,4.2,51.4,38,34,52.78,19,17,52.78,3,4,42.86,19,17,52.78,0,1,0,48,32,60,1,1,50,10,80.65,0.906,0,6,0,0,-,27,28,22,55.1
22,Linus Ullmark,OTT,G,10,541.9833333,609,466,56.65,444,316,58.42,316,228,58.09,28,25,52.83,27.44,21.82,55.7,255,226,53.01,84,79,51.53,8,11,42.11,171,147,53.77,16,6,72.73,378,268,58.51,4,8,33.33,8.86,89.04,0.979,2,31,1,0,66.67,204,158,174,53.97
50,David Rittich,L.A,G,9,464.6333333,502,388,56.4,365,269,57.57,234,186,55.71,24,21,53.33,29.45,18.03,62.02,236,173,57.7,102,78,56.67,12,14,46.15,134,95,58.52,6,4,60,296,234,55.85,4,3,57.14,10.26,88.71,0.99,4,26,0,0,100,149,149,147,50.34
66,Trent Miner,COL,G,1,34.96666667,37,29,56.06,20,18,52.63,12,13,48,1,1,50,0.8,0.57,58.26,17,7,70.83,2,2,50,1,0,100,15,5,75,0,1,0,28,20,58.33,0,0,-,8.33,92.31,1.006,0,3,0,0,-,17,13,10,62.96
9,Sergei Bobrovsky,FLA,G,12,708.0833333,750,610,55.15,533,474,52.93,364,332,52.3,43,37,53.75,35.43,31.77,52.72,350,284,55.21,133,129,50.76,22,17,56.41,217,155,58.33,12,11,52.17,449,372,54.69,9,9,50,11.81,88.86,1.007,4,40,0,0,100,267,230,206,56.45
28,Alex Nedeljkovic,PIT,G,9,541.3333333,611,501,54.95,440,363,54.79,296,251,54.11,21,29,42,31.72,23.75,57.19,291,244,54.39,138,96,58.97,9,16,36,153,148,50.83,6,8,42.86,347,286,54.82,5,5,50,7.09,88.45,0.955,2,32,0,0,100,196,137,180,52.13
48,Joseph Woll,TOR,G,5,300.4666667,313,258,54.82,225,180,55.56,165,122,57.49,14,12,53.85,16.78,9.65,63.49,144,102,58.54,59,36,62.11,9,4,69.23,85,66,56.29,3,3,50,206,166,55.38,1,5,16.67,8.48,90.16,0.986,2,19,0,0,100,112,81,84,57.14
45,Casey DeSmith,DAL,G,5,267.5,275,227,54.78,190,174,52.2,127,112,53.14,12,8,60,14.6,12.53,53.82,131,112,53.91,58,50,53.7,6,4,60,73,62,54.07,4,2,66.67,171,148,53.61,2,2,50,9.45,92.86,1.023,2,15,1,0,66.67,100,62,84,54.35
51,Stuart Skinner,EDM,G,11,634.25,681,570,54.44,495,416,54.34,348,286,54.89,29,34,46.03,35.1,27.97,55.65,336,283,54.28,143,102,58.37,16,13,55.17,193,181,51.6,6,13,31.58,409,320,56.1,6,8,42.86,8.33,88.11,0.964,2,40,0,0,100,219,187,185,54.21
58,Alexandar Georgiev,COL,G,10,538.65,576,484,54.34,396,338,53.95,277,234,54.21,28,32,46.67,28.95,24.23,54.43,282,230,55.08,119,102,53.85,10,21,32.26,163,128,56.01,11,4,73.33,341,289,54.13,5,7,41.67,10.11,86.32,0.964,3,32,0,0,100,205,159,171,54.52
71,Devon Levi,BUF,G,6,309.7333333,311,266,53.9,220,204,51.89,134,154,46.53,17,20,45.95,10.16,9.98,50.44,122,114,51.69,51,49,51,7,11,38.89,71,65,52.21,5,8,38.46,202,182,52.6,4,1,80,12.69,87.01,0.997,4,21,0,0,100,102,92,103,49.76
4,Semyon Varlamov,NYI,G,7,419.05,433,384,53,307,275,52.75,200,184,52.08,19,20,48.72,20.29,16.84,54.64,192,188,50.53,80,64,55.56,12,7,63.16,112,124,47.46,3,10,23.08,277,209,57,2,3,40,9.5,89.13,0.986,2,25,1,0,66.67,160,123,112,58.82
1,Marc-Andre Fleury,MIN,G,4,244.35,238,213,52.77,174,156,52.73,126,115,52.28,18,11,62.07,12.7,8.07,61.13,97,91,51.6,39,33,54.17,6,4,60,58,58,50,6,5,54.55,158,133,54.3,5,2,71.43,14.29,90.43,1.047,3,13,0,0,100,92,82,59,60.93
63,Akira Schmid,VGK,G,1,33.41666667,34,31,52.31,27,24,52.94,23,12,65.71,2,0,100,1.53,1.51,50.28,15,14,51.72,8,5,61.54,1,0,100,7,9,43.75,1,0,100,22,21,51.16,0,0,-,8.7,100,1.087,0,3,0,0,-,16,9,16,50
52,Jake Oettinger,DAL,G,11,626.5833333,639,585,52.21,458,435,51.29,324,291,52.68,37,25,59.68,35.09,32.59,51.85,324,294,52.43,134,125,51.74,16,13,55.17,190,169,52.92,14,10,58.33,354,341,50.94,5,2,71.43,11.42,91.41,1.028,7,36,1,0,87.5,205,180,205,50
24,Tristan Jarry,PIT,G,4,190.1833333,226,209,51.95,154,157,49.52,90,110,45,9,17,34.62,13.9,11.91,53.85,106,104,50.48,53,52,50.48,6,8,42.86,53,52,50.48,0,6,0,124,113,52.32,2,3,40,10,84.55,0.945,1,11,0,0,100,59,68,51,53.64
44,Connor Ingram,UTA,G,12,688.85,689,642,51.77,483,465,50.95,301,322,48.31,40,39,50.63,31.5,32.02,49.59,313,291,51.82,116,117,49.79,19,18,51.35,197,174,53.1,12,13,48,411,396,50.93,8,7,53.33,13.29,87.89,1.012,2,41,0,0,100,232,220,241,49.05
19,Joonas Korpisalo,BOS,G,6,331.45,330,308,51.72,226,220,50.67,154,150,50.66,16,15,51.61,19.83,15.41,56.27,173,153,53.07,74,67,52.48,7,6,53.85,99,86,53.51,4,7,36.36,172,168,50.59,3,2,60,10.39,90,1.004,3,19,0,0,100,110,93,117,48.46
60,Kevin Lankinen,VAN,G,12,715.15,688,643,51.69,503,488,50.76,337,335,50.15,40,31,56.34,32.6,30.18,51.93,302,279,51.98,118,116,50.43,21,17,55.26,184,163,53.03,12,6,66.67,424,419,50.3,6,8,42.86,11.87,90.75,1.026,2,40,0,0,100,228,200,240,48.72
31,Elvis Merzlikins,CBJ,G,9,534.55,560,525,51.61,410,386,51.51,285,254,52.88,25,26,49.02,27.73,24.43,53.16,253,236,51.74,105,103,50.48,13,10,56.52,148,133,52.67,8,7,53.33,330,313,51.32,3,9,25,8.77,89.76,0.985,6,31,1,0,85.71,171,158,168,50.44
62,Justus Annunen,COL,G,9,430.7833333,432,406,51.55,300,279,51.81,195,175,52.7,27,21,56.25,22.8,17.66,56.35,217,170,56.07,83,79,51.23,11,11,50,134,91,59.56,6,6,50,229,268,46.08,9,4,69.23,13.85,88,1.018,1,30,1,0,50,128,137,147,46.55
30,Jonas Johansson,T.B,G,3,146.4166667,147,141,51.04,115,108,51.57,85,82,50.9,13,11,54.17,9.74,6.83,58.79,70,68,50.72,31,32,49.21,7,7,50,39,36,52,3,3,50,84,87,49.12,2,1,66.67,15.29,86.59,1.019,0,11,0,0,-,49,60,59,45.37
69,Arturs Silovs,VAN,G,4,188.85,182,176,50.84,119,128,48.18,73,78,48.34,6,15,28.57,8.15,8.01,50.43,84,85,49.7,36,42,46.15,4,8,33.33,48,43,52.75,1,5,16.67,115,105,52.27,1,2,33.33,8.22,80.77,0.89,3,13,0,0,100,61,60,58,51.26
55,Daniil Tarasov,CBJ,G,7,416.5,432,420,50.7,302,304,49.83,208,201,50.86,26,27,49.06,21.89,21.66,50.26,185,209,46.95,77,96,44.51,11,16,40.74,108,113,48.87,10,6,62.5,283,241,54.01,5,5,50,12.5,86.57,0.991,4,23,1,0,80,147,133,128,53.45
