"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","New Jersey Devils","82","4026.0667","42","33","7","40","91","0.555","3949","3748","51.31","2732","2705","50.25","1755","1715","50.58","149","152","49.50","169.1","160.01","51.38","1818","1656","52.33","892","858","50.97","126","127","49.80","14.13","85.20","715","678","51.33","422","414","50.48","70","77","47.62","16.59","81.40","1103","978","53.00","470","444","51.42","56","50","52.83","11.91","88.74","2292","2263","50.32","767","766","50.03","23","25","47.92","3.00","96.74","8.49","91.14","0.996"
"2","Buffalo Sabres","82","3946.5667","36","39","7","32","79","0.482","3828","3866","49.75","2738","2805","49.40","1749","1821","48.99","185","184","50.14","161.38","174.98","47.98","1697","1863","47.67","841","957","46.77","154","156","49.68","18.31","83.70","670","759","46.89","385","462","45.45","84","103","44.92","21.82","77.71","1027","1104","48.19","456","495","47.95","70","53","56.91","15.35","89.29","2306","2296","50.11","821","774","51.47","31","28","52.54","3.78","96.38","10.58","89.90","1.005"
"3","St Louis Blues","82","4119.0833","44","30","8","40","96","0.585","3669","3901","48.47","2569","2699","48.77","1775","1790","49.79","175","147","54.35","154.12","158.67","49.27","1732","1751","49.73","945","848","52.70","145","120","54.72","15.34","85.85","666","659","50.26","425","402","51.39","82","78","51.25","19.29","80.60","1066","1092","49.40","520","446","53.83","63","42","60.00","12.12","90.58","2155","2352","47.81","730","845","46.35","30","27","52.63","4.11","96.80","9.86","91.79","1.016"
"4","Seattle Kraken","82","4027.1","35","41","6","33","76","0.463","3841","4179","47.89","2769","2973","48.22","1764","1872","48.51","168","183","47.86","153.28","178.4","46.21","1600","1839","46.53","817","942","46.45","136","148","47.89","16.65","84.29","647","753","46.21","375","461","44.86","74","90","45.12","19.73","80.48","953","1086","46.74","442","481","47.89","62","58","51.67","14.03","87.94","2366","2519","48.43","846","842","50.12","32","35","47.76","3.78","95.84","9.52","90.22","0.997"
"5","Boston Bruins","82","3998.15","33","39","10","33","76","0.463","3600","3944","47.72","2521","2798","47.40","1653","1814","47.68","152","164","48.10","154.33","167.47","47.96","1620","1745","48.14","805","890","47.49","129","140","47.96","16.02","84.27","632","701","47.41","398","422","48.54","84","76","52.50","21.11","81.99","988","1044","48.62","407","468","46.51","45","64","41.28","11.06","86.32","2129","2402","46.99","728","834","46.61","22","24","47.83","3.02","97.12","9.20","90.96","1.002"
"6","Florida Panthers","82","3954.1667","47","31","4","41","98","0.598","4263","3415","55.52","3051","2532","54.65","1986","1653","54.58","153","139","52.40","180.52","146.88","55.14","1830","1474","55.39","957","797","54.56","115","113","50.44","12.02","85.82","730","643","53.17","479","410","53.88","77","72","51.68","16.08","82.44","1100","831","56.97","478","387","55.26","38","41","48.10","7.95","89.41","2711","2071","56.69","951","746","56.04","38","26","59.38","4.00","96.51","7.70","91.59","0.993"
"7","Chicago Blackhawks","82","4116.7833","25","46","11","23","61","0.372","3351","4249","44.09","2397","3089","43.69","1633","2056","44.27","150","207","42.02","144.05","190.75","43.03","1499","2050","42.24","816","1069","43.29","128","170","42.95","15.69","84.10","600","840","41.67","399","546","42.22","72","106","40.45","18.05","80.59","899","1210","42.63","417","523","44.36","56","64","46.67","13.43","87.76","1982","2509","44.13","739","893","45.28","22","37","37.29","2.98","95.86","9.19","89.93","0.991"
"8","Utah Hockey Club","82","3991.2833","38","31","13","37","89","0.543","4182","3675","53.23","2967","2590","53.39","1899","1726","52.39","158","150","51.30","184.98","159.32","53.73","1890","1599","54.17","975","798","54.99","128","124","50.79","13.13","84.46","740","621","54.37","487","390","55.53","78","75","50.98","16.02","80.77","1150","978","54.04","488","408","54.46","50","49","50.51","10.25","87.99","2510","2241","52.83","837","820","50.51","30","25","54.55","3.58","96.95","8.32","91.31","0.996"
"9","Toronto Maple Leafs","82","4008.0667","52","26","4","51","108","0.659","3694","4103","47.38","2670","2877","48.13","1792","1845","49.27","169","136","55.41","159.04","168.75","48.52","1694","1793","48.58","918","860","51.63","150","112","57.25","16.34","86.98","700","682","50.65","457","406","52.95","90","67","57.32","19.69","83.50","994","1111","47.22","461","454","50.38","60","45","57.14","13.02","90.09","2204","2432","47.54","768","886","46.43","19","24","44.19","2.47","97.29","9.43","92.63","1.021"
"10","Montreal Canadiens","82","3956.5167","40","31","11","38","91","0.555","3692","4082","47.49","2566","2850","47.38","1657","1820","47.66","158","181","46.61","167.89","189.11","47.03","1743","1922","47.56","876","964","47.61","126","150","45.65","14.38","84.44","677","805","45.68","411","482","46.02","65","92","41.40","15.82","80.91","1066","1117","48.83","465","482","49.10","61","58","51.26","13.12","87.97","2141","2241","48.86","709","757","48.36","32","31","50.79","4.51","95.90","9.54","90.05","0.996"
