Game_Num,Date,Away,Home,Location
1,"Sat, Nov 30",Boston,Toronto,Coca-Cola Coliseum
2,"Sat, Nov 30",Ottawa,Montréal,Place Bell
3,"Sun, Dec 1",New York,Minnesota,Xcel Energy Center
4,"Tue, Dec 3",Toronto,Ottawa,TD Place
5,"Wed, Dec 4",Minnesota,Boston,Tsongas Center
6,"Wed, Dec 4",New York,Montréal,Place Bell
7,"Fri, Dec 6",Montréal,Ottawa,Canadian Tire Centre
8,"Sat, Dec 7",Minnesota,Toronto,Coca-Cola Coliseum
9,"Sun, Dec 8",New York,Boston,Tsongas Center
10,"Tue, Dec 17",Ottawa,Boston,Tsongas Center
11,"Wed, Dec 18",Toronto,New York,Prudential Center
12,"Thu, Dec 19",Ottawa,Minnesota,Xcel Energy Center
13,"Sat, Dec 21",Montréal,Toronto,Coca-Cola Coliseum
14,"Sun, Dec 22",Minnesota,New York,Prudential Center
15,"Fri, Dec 27",Boston,Toronto,Coca-Cola Coliseum
16,"Sat, Dec 28",Montréal,Minnesota,Xcel Energy Center
17,"Sun, Dec 29",Ottawa,New York,Prudential Center
18,"Mon, Dec 30",Boston,Montréal,Place Bell
19,"Tue, Dec 31",Ottawa,Toronto,Coca-Cola Coliseum
20,"Thu, Jan 2",Boston,Minnesota,Xcel Energy Center
21,"Sat, Jan 4",New York,Minnesota,Xcel Energy Center
22,"Sun, Jan 5",Montréal,Boston,Climate Pledge Arena
23,"Tue, Jan 7",Ottawa,New York,Prudential Center
24,"Wed, Jan 8",Boston,Minnesota,Xcel Energy Center
25,"Wed, Jan 8",Montréal,Toronto,Rogers Arena
26,"Sat, Jan 11",Boston,Ottawa,TD Place
27,"Sun, Jan 12",Toronto,New York,Prudential Center
28,"Sun, Jan 12",Montréal,Minnesota,Ball Arena
29,"Tue, Jan 14",Toronto,Ottawa,TD Place
30,"Wed, Jan 15",Minnesota,New York,Prudential Center
31,"Fri, Jan 17",Minnesota,Montréal,Place Bell
32,"Sun, Jan 19",Ottawa,Montréal,Videotron Centre
33,"Tue, Jan 21",Ottawa,Minnesota,Xcel Energy Center
34,"Wed, Jan 22",Toronto,Boston,Tsongas Center
35,"Sat, Jan 25",New York,Toronto,TBD
36,"Sun, Jan 26",Boston,Minnesota,Xcel Energy Center
37,"Mon, Jan 27",New York,Ottawa,TD Place
38,"Tue, Jan 28",Toronto,Minnesota,Xcel Energy Center
39,"Wed, Jan 29",Ottawa,Montréal,Place Bell
40,"Thu, Jan 30",Toronto,Montréal,Place Bell
41,"Fri, Jan 31",New York,Boston,Tsongas Center
42,"Sat, Feb 1",Ottawa,Toronto,Coca-Cola Coliseum
43,"Sun, Feb 2",Montréal,New York,Prudential Center
44,"Tue, Feb 11",Minnesota,Toronto,Coca-Cola Coliseum
45,"Wed, Feb 12",Boston,New York,Prudential Center
46,"Thu, Feb 13",Minnesota,Ottawa,TD Place
47,"Fri, Feb 14",Boston,Toronto,Coca-Cola Coliseum
48,"Sat, Feb 15",New York,Montréal,Place Bell
49,"Sun, Feb 16",Minnesota,Boston,Tsongas Center
50,"Sun, Feb 16",Toronto,Ottawa,Rogers Place
51,"Mon, Feb 17",Boston,New York,Prudential Center
52,"Tue, Feb 18",Minnesota,Montréal,Place Bell
53,"Wed, Feb 19",Toronto,New York,Prudential Center
54,"Thu, Feb 20",Boston,Ottawa,TD Place
55,"Sat, Feb 22",Montréal,Ottawa,TD Place
56,"Sun, Feb 23",Toronto,Minnesota,Xcel Energy Center
57,"Sun, Feb 23",Boston,New York,KeyBank Centre
58,"Tue, Feb 25",Toronto,Montréal,Place Bell
59,"Wed, Feb 26",New York,Ottawa,TD Place
60,"Sat, Mar 1",Boston,Montréal,TBD
61,"Tue, Mar 4",Minnesota,Montréal,Place Bell
62,"Wed, Mar 5",New York,Boston,Tsongas Center
63,"Thu, Mar 6",Montréal,Toronto,Coca-Cola Coliseum
64,"Fri, Mar 7",Ottawa,Minnesota,Lenovo Center
65,"Sat, Mar 8",Montréal,Boston,TBD
66,"Sun, Mar 9",Minnesota,Toronto,Coca-Cola Coliseum
67,"Tue, Mar 11",Minnesota,Ottawa,TD Place
68,"Wed, Mar 12",Montréal,New York,Prudential Center
69,"Sat, Mar 15",Boston,Ottawa,TD Place
70,"Sun, Mar 16",Minnesota,New York,Little Caesars Arena
71,"Tue, Mar 18",Montréal,Boston,Tsongas Center
72,"Wed, Mar 19",New York,Toronto,Coca-Cola Coliseum
73,"Sat, Mar 22",Ottawa,New York,Prudential Center
74,"Sun, Mar 23",Toronto,Montréal,Place Bell
75,"Tue, Mar 25",New York,Ottawa,TD Place
76,"Wed, Mar 26",Toronto,Boston,TBD
77,"Wed, Mar 26",Montréal,Minnesota,Xcel Energy Center
78,"Sat, Mar 29",Ottawa,Boston,Enterprise Center
79,"Sun, Mar 30",Toronto,Minnesota,Xcel Energy Center
80,"Tue, Apr 1",New York,Montréal,Place Bell
81,"Wed, Apr 2",Ottawa,Boston,Tsongas Center
82,"Sat, Apr 26",Toronto,Boston,Tsongas Center
83,"Sat, Apr 26",Montréal,Ottawa,TD Place
84,"Sat, Apr 26",New York,Minnesota,Xcel Energy Center
85,"Mon, Apr 28",Boston,Montréal,Place Bell
86,"Tue, Apr 29",New York,Toronto,Coca-Cola Coliseum
87,"Wed, Apr 30",Minnesota,Ottawa,TD Place
88,"Fri, May 2",Montréal,New York,Prudential Center
89,"Sat, May 3",Minnesota,Boston,Tsongas Center
90,"Sat, May 3",Ottawa,Toronto,Coca-Cola Coliseum
