GP,Date,HomeAway,Opponent,GF,GA,Result,OT,W,L,OL,Streak,Att.,LOG,Season
1,10/8/2024,,St. Louis Blues,2,3,L,,0,1,0,L 1,17151,2:37,25
2,10/12/2024,@,Minnesota Wild,5,4,W,SO,1,1,0,W 1,18421,2:43,25
3,10/13/2024,@,Dallas Stars,0,2,L,,1,2,0,L 1,18532,2:23,25
4,10/15/2024,@,Nashville Predators,7,3,W,,2,2,0,W 1,17159,2:34,25
5,10/17/2024,,Philadelphia Flyers,6,4,W,,3,2,0,W 2,17151,2:31,25
6,10/19/2024,,Calgary Flames,2,1,W,OT,4,2,0,W 3,17151,2:33,25
7,10/22/2024,,Colorado Avalanche,2,3,L,,4,3,0,L 1,17151,2:24,25
8,10/24/2024,,Winnipeg Jets,3,4,L,OT,4,3,1,L 2,17151,2:38,25
9,10/26/2024,,Carolina Hurricanes,1,4,L,,4,4,1,L 3,17151,2:28,25
10,10/29/2024,@,Montreal Canadiens,8,2,W,,5,4,1,W 1,21105,2:37,25
11,10/31/2024,@,Toronto Maple Leafs,1,4,L,,5,5,1,L 1,18181,2:23,25
12,11/2/2024,@,Ottawa Senators,0,3,L,,5,6,1,L 2,17274,2:24,25
13,11/3/2024,@,Boston Bruins,0,2,L,,5,7,1,L 3,17850,2:38,25
14,11/5/2024,@,Colorado Avalanche,3,6,L,,5,8,1,L 4,18014,2:32,25
15,11/8/2024,,Vegas Golden Knights,4,3,W,OT,6,8,1,W 1,17151,2:28,25
16,11/12/2024,,Columbus Blue Jackets,5,2,W,,7,8,1,W 2,17151,2:24,25
17,11/14/2024,,Chicago Blackhawks,3,1,W,,8,8,1,W 3,17151,2:26,25
18,11/16/2024,,New York Islanders,3,2,W,,9,8,1,W 4,17151,2:29,25
19,11/17/2024,,New York Rangers,0,2,L,,9,9,1,L 1,17151,2:17,25
20,11/20/2024,,Nashville Predators,3,0,W,,10,9,1,W 1,17151,2:31,25
21,11/23/2024,@,Los Angeles Kings,1,2,L,,10,10,1,L 1,18145,2:20,25
22,11/25/2024,@,Anaheim Ducks,3,2,W,,11,10,1,W 1,15331,2:27,25
23,11/27/2024,,Anaheim Ducks,2,5,L,,11,11,1,L 1,17151,2:37,25
24,11/29/2024,@,San Jose Sharks,5,8,L,,11,12,1,L 2,14795,2:27,25
25,11/30/2024,,San Jose Sharks,2,4,L,,11,13,1,L 3,17151,2:30,25
26,12/3/2024,@,Carolina Hurricanes,4,2,W,,12,13,1,W 1,18700,2:26,25
27,12/5/2024,@,New York Islanders,5,2,W,,13,13,1,W 2,14877,2:24,25
28,12/6/2024,@,New Jersey Devils,2,3,L,,13,14,1,L 1,15582,2:19,25
29,12/8/2024,@,New York Rangers,7,5,W,,14,14,1,W 1,18006,2:34,25
30,12/10/2024,,Florida Panthers,1,2,L,SO,14,14,2,L 1,17151,2:38,25
31,12/12/2024,,Boston Bruins,5,1,W,,15,14,2,W 1,17151,2:24,25
32,12/14/2024,,Tampa Bay Lightning,1,5,L,,15,15,2,L 1,17151,2:26,25
33,12/17/2024,,Ottawa Senators,0,3,L,,15,16,2,L 2,17151,2:23,25
34,12/19/2024,@,Chicago Blackhawks,1,3,L,,15,17,2,L 3,18991,2:27,25
35,12/21/2024,@,Vegas Golden Knights,2,6,L,,15,18,2,L 4,17862,2:34,25
36,12/22/2024,@,Colorado Avalanche,2,5,L,,15,19,2,L 5,18089,2:25,25
37,12/28/2024,@,Vancouver Canucks,5,4,W,OT,16,19,2,W 1,18905,2:27,25
