"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"101","Tristan Lennox","NYI","G","1","4.7166666666667","8","3","72.73","8","2","80.00","6","2","75.00","1","1","50.00","0.47","0.04","92.34","2","2","50.00","2","0","100.00","1","0","100.00","0","2","0.00","0","1","0.00","9","1","90.00","0","0","-","16.67","50.00","0.667","0","1","0","0","-","3","5","2","60.00"
"34","Pheonix Copley","L.A","G","1","27.483333333333","30","16","65.22","20","12","62.50","14","12","53.85","2","2","50.00","1.61","0.91","63.87","11","8","57.89","7","5","58.33","1","1","50.00","4","3","57.14","1","0","100.00","21","9","70.00","0","1","0.00","14.29","83.33","0.976","2","1","0","0","100.00","13","7","6","68.42"
"109","Nikita Tolopilo","VAN","G","2","83.65","96","59","61.94","76","48","61.29","40","26","60.61","2","3","40.00","6.42","2.79","69.69","58","28","67.44","24","9","72.73","2","0","100.00","34","19","64.15","0","1","0.00","43","38","53.09","0","2","0.00","5.00","88.46","0.935","1","6","0","0","100.00","20","22","20","50.00"
"76","Olivier Rodrigue","EDM","G","2","77.416666666667","98","61","61.64","73","49","59.84","52","29","64.20","2","4","33.33","4","3.22","55.38","38","32","54.29","10","10","50.00","2","2","50.00","28","22","56.00","0","2","0.00","73","40","64.60","0","0","-","3.85","86.21","0.901","0","6","0","0","-","32","20","25","56.14"
"99","Sebastian Cossa","DET","G","1","45","51","34","60.00","33","23","58.93","22","14","61.11","3","2","60.00","2.32","1.55","60.06","29","16","64.44","11","8","57.89","1","2","33.33","18","8","69.23","1","0","100.00","29","20","59.18","1","0","100.00","13.64","85.71","0.994","0","3","0","0","-","18","12","9","66.67"
"107","Nikke Kokko","SEA","G","1","29.95","24","16","60.00","17","10","62.96","14","6","70.00","2","2","50.00","0.6","0.49","55.10","10","9","52.63","2","2","50.00","1","1","50.00","8","7","53.33","1","1","50.00","15","10","60.00","0","0","-","14.29","66.67","0.810","1","2","0","0","100.00","12","11","5","70.59"
"19","Frederik Andersen","CAR","G","22","1319.5166666667","1590","1075","59.66","1126","810","58.16","700","546","56.18","67","55","54.92","83.17","61.89","57.33","767","552","58.15","295","284","50.95","32","32","50.00","472","268","63.78","25","14","64.10","966","604","61.53","8","9","47.06","9.57","89.93","0.995","8","76","1","0","88.89","468","381","398","54.04"
"45","Kaapo Kahkonen","COL","G","1","58.266666666667","66","45","59.46","46","33","58.23","35","20","63.64","2","4","33.33","3.51","2.52","58.18","33","22","60.00","16","10","61.54","0","2","0.00","17","12","58.62","1","2","33.33","36","21","63.16","1","0","100.00","5.71","80.00","0.857","1","4","0","0","100.00","20","21","6","76.92"
"87","Pyotr Kochetkov","CAR","G","47","2790.7","3183","2306","57.99","2288","1718","57.11","1450","1173","55.28","151","121","55.51","158.02","125.32","55.77","1480","1157","56.12","592","515","53.48","76","54","58.46","888","642","58.04","37","43","46.25","1938","1342","59.09","34","24","58.62","10.41","89.68","1.001","16","157","3","0","84.21","1074","841","881","54.94"
"8","Dustin Tokarski","CAR","G","6","358.31666666667","410","300","57.75","297","207","58.93","180","132","57.69","18","13","58.06","19.03","12.87","59.65","167","143","53.87","61","51","54.46","10","7","58.82","106","92","53.54","5","5","50.00","277","175","61.28","3","1","75.00","10.00","90.15","1.002","1","22","0","0","100.00","132","109","112","54.10"
