Column1,name,primary,logo,team_abbr,team_nick,division,conference,team_logo_espn,team_color1,team_color2,team_logo_alternate,team_color_alt1,team_color_alt2,status
1,Anaheim Ducks,#010101,http://content.sportslogos.net/logos/1/1736/thumbs/173616512014.gif,ANA,ducks,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/ANA.png,#F47A38,#B9975B,https://content.sportslogos.net/logos/1/1/full/anaheim_mighty_ducks-primary_19944561.png,#00685E,#532A44,active
2,Arizona Coyotes,#010101,http://content.sportslogos.net/logos/1/5263/thumbs/526378072015.gif,ARI,coyotes,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/ARI.png,#8C2633,#DDCBA4,https://content.sportslogos.net/logos/1/23/full/phoenix_coyotes-primary_20008238.png,#154734,#5F259F,active
3,Boston Bruins,#010101,http://content.sportslogos.net/logos/1/3/thumbs/venf9fmhgnsawnxxvehf.gif,BOS,bruins,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/BOS.png,#FFB81C,#000000,https://i.imgur.com/YakPDQm.png,#FFB81C,#000000,active
4,Buffalo Sabres,#041e42,http://content.sportslogos.net/logos/1/4/thumbs/i40oxcdbo7xtfamqqhqachoyo.gif,BUF,sabres,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/BUF.png,#002654,#FCB514,https://i.imgur.com/QGPPTyP.png,#C8102E,#ADAFAA,active
5,Calgary Flames,#010101,http://content.sportslogos.net/logos/1/5/thumbs/50.gif,CGY,flames,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/CGY.png,#C8102E,#F1BE48,https://content.sportslogos.net/logos/1/5/full/kohc3s8yz5fi74z6ojk1od6ah.png,#F1BE48,#C8102E,active
6,Carolina Hurricanes,#010101,http://content.sportslogos.net/logos/1/6/thumbs/fotih31tn5r345nufo5xxayh3.gif,CAR,hurricanes,Metropolitan,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/CAR.png,#CC0000,#000000,https://i.imgur.com/oJ8IIRI.png,#000000,#CC0000,active
7,Chicago Blackhawks,#010101,http://content.sportslogos.net/logos/1/7/thumbs/56.gif,CHI,blackhawks,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/CHI.png,#CF0A2C,#000000,https://content.sportslogos.net/logos/1/7/full/57.png,#CF0A2C,#D18A00,active
8,Colorado Avalanche,#010101,http://content.sportslogos.net/logos/1/8/thumbs/64.gif,COL,avalanche,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/COL.png,#6F263D,#236192,https://sportslogohistory.com/wp-content/uploads/2017/12/colorado_avalanche_2016-pres_a.png,#041E42,#6F263D,active
9,Columbus Blue Jackets,#041e42,http://content.sportslogos.net/logos/1/9/thumbs/jhepegs329pc7ugyypebl28wg.gif,CBJ,bluejackets,Metropolitan,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/CBJ.png,#002654,#CE1126,https://i.imgur.com/wfny12f.png,#002654,#DDCBA4,active
10,Dallas Stars,#010101,http://content.sportslogos.net/logos/1/10/thumbs/1079172014.gif,DAL,stars,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/DAL.png,#006847,#8F8F8C,https://i.imgur.com/rAvM2f0.png,#154734,#C69214,active
11,Detroit Red Wings,#c8102e,http://content.sportslogos.net/logos/1/11/thumbs/yo3wysbjtagzmwj37tb11u0fh.gif,DET,redwings,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/DET.png,#CE1126,#FFFFFF,https://i.imgur.com/n2W5mJD.png,#CE1126,#FFFFFF,active
12,Edmonton Oilers,#00205b,http://content.sportslogos.net/logos/1/12/thumbs/1227282018.gif,EDM,oilers,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/EDM.png,#FF4C00,#041E42,https://i.imgur.com/TWFUJbi.png,#041E42,#97999B,active
13,Florida Panthers,#041e42,http://content.sportslogos.net/logos/1/13/thumbs/1380782017.gif,FLA,panthers,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/FLA.png,#041E42,#C8102E,https://i.imgur.com/MxrGLhp.png,#B9975B,#041E42,active
14,Los Angeles Kings,#010101,http://content.sportslogos.net/logos/1/14/thumbs/1422202020.gif,LAK,kings,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/LA.png,#111111,#A2AAAD,https://i.pinimg.com/originals/e1/b4/cb/e1b4cb36a5f699416d31c67e5210077d.png,#572A84,#FFC80C,active
15,Minnesota Wild,#154734,http://content.sportslogos.net/logos/1/15/thumbs/1588102014.gif,MIN,wild,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/MIN.png,#154734,#A6192E,https://i.imgur.com/oNh0yHG.png,#009639,#FFD100,active
16,Montreal Canadiens,#001e62,http://content.sportslogos.net/logos/1/16/thumbs/124.gif,MTL,canadiens,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/MTL.png,#AF1E2D,#192168,https://i.imgur.com/BXXqOJx.png,#AF1E2D,#192168,active
17,Nashville Predators,#041e42,http://content.sportslogos.net/logos/1/17/thumbs/lvchw3qfsun2e7oc02kh2zxb6.gif,NSH,predators,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/NSH.png,#FFB81C,#041E42,https://i.imgur.com/P4lMu0a.png,#041E42,#FFB81C,active
18,New Jersey Devils,#010101,http://content.sportslogos.net/logos/1/18/thumbs/32tfs723a3bes0p0hb4hgcy1u.gif,NJD,devils,Metropolitan,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/NJD.png,#CE1126,#000000,https://i.imgur.com/6QiQnF3.png,#CE1126,#046A38,active
