"";"team";"main_color"
"1";"ANA";"#FC4C02"
"2";"ARI";"#98012E"
"3";"BOS";"#fcb514"
"4";"BUF";"#003087"
"5";"CAR";"#c8102e"
"6";"CGY";"#C8102E"
"7";"CHI";"#C8102E"
"8";"COL";"#6F263D"
"9";"CBJ";"#041e42"
"10";"DAL";"#00843D"
"11";"DET";"#C8102E"
"12";"EDM";"#00205B"
"13";"FLA";"#C8102E"
"14";"LAK";"#A2AAAD"
"15";"MIN";"#154734"
"16";"MTL";"#A6192E"
"17";"NSH";"#FFB81C"
"18";"NJD";"#C8102E"
"19";"NYI";"#003087"
"20";"NYR";"#0032A0"
"21";"OTT";"#C8102E"
"22";"PHI";"#CF4520"
"23";"PIT";"#FFB81C"
"24";"STL";"#003087"
"25";"SJS";"#006271"
"26";"SEA";"#051C2C"
"27";"TBL";"#00205B"
"28";"TOR";"#00205B"
"29";"UHC";"#69b3e7"
"30";"UTA";"#69b3e7"
"31";"VAN";"#00205B"
"32";"VGK";"#B9975B"
"33";"WAS";"#C8102E"
"34";"WPG";"#041E42"
