team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SEA,2021,SEA,2021020002,SEA,VGK,AWAY,20211012,Team Level,other,0.6889,0.6667,0.5,215,1.63,0.691,0.08,0.192,0.035,0.705,0.298,0.691,0.691,0.691,2,0,4,6,0,0,0,0,0,1,1,2,2,0,0,2,0,0,0,1,0,1,0.06,0,0.631,0,0,0,6,2,2,0,0.032,0,0,0.723,0.723,0.723,1.099,0.312,0.054,0.148,0.042,0.834,0.61,0.312,0.312,0.312,1,1,1,3,0,0,0,0,0,1,1,1,2,1,2,0,1,0,0,1,0,1,0.015,0,0.297,0,0,0,3,2,2,0,0.015,0,0,0.327,0.327,0.327
SEA,2021,SEA,2021020002,SEA,VGK,AWAY,20211012,Team Level,all,0.4365,0.5207,0.4835,3600,31.875,3.009,1.987,7.626,1.002,17.803,12.574,2.959,3.001,2.951,31,13,19,63,3,2,1,6,1,15,17,28,41,3,6,24,33,5,7,34,6,4,0.801,0.682,1.526,1,1,1,60.968,44,42.666,5,0.426,0.626,0.626,2.809,2.804,2.788,33.36,3.885,2.462,7.98,1.109,18.668,12.896,3.698,3.902,3.715,30,17,11,58,4,3,0,6,1,18,15,26,43,4,8,26,26,10,6,31,11,5,0.906,1.501,1.478,1,2,1,60.002,47,48.436,3,0.552,0.72,0.72,3.718,3.737,3.681
SEA,2021,SEA,2021020002,SEA,VGK,AWAY,20211012,Team Level,5on5,0.5106,0.5426,0.5417,2762,28.077,2.291,1.765,6.849,0.894,15.626,11.574,2.241,2.282,2.233,26,13,12,51,3,2,1,6,1,12,15,23,36,3,6,20,29,4,5,30,6,3,0.713,0.682,0.895,1,1,1,48.968,39,37.666,4,0.362,0.626,0.626,2.027,2.022,2.006,23.621,2.196,1.615,5.98,0.783,13.197,9.228,2.154,2.213,2.171,21,12,10,43,4,2,0,5,0,11,11,17,29,3,6,20,23,9,3,24,6,3,0.632,0.803,0.762,1,2,1,45.002,33,34.436,2,0.334,0.3,0.3,2.23,2.25,2.241
SEA,2021,SEA,2021020002,SEA,VGK,AWAY,20211012,Team Level,4on5,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.913,1.344,0.766,1.666,0.262,4.42,2.542,1.199,1.344,1.199,7,4,0,11,0,1,0,1,1,6,2,7,11,0,0,4,1,1,2,5,5,1,0.226,0.698,0.42,0,0,0,11,11,11,0,0.198,0.42,0.42,1.122,1.122,1.074
SEA,2021,SEA,2021020002,SEA,VGK,AWAY,20211012,Team Level,5on4,0.459,0.8571,0.75,263,2.168,0.028,0.141,0.584,0.073,1.472,0.702,0.027,0.028,0.027,3,0,3,6,0,0,0,0,0,2,1,3,3,0,0,0,0,1,1,3,0,0,0.028,0,0,0,0,0,6,3,3,0,0.032,0,0,0.06,0.06,0.058,0.727,0.033,0.026,0.185,0.022,0.217,0.516,0.033,0.033,0.033,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,1,0,1,1,0,0,0.033,0,0,0,0,0,1,1,1,1,0.006,0,0,0.039,0.039,0.039
SEA,2021,SEA,2021020014,SEA,NSH,AWAY,20211014,Team Level,other,0.7578,0.4,0.2857,197,1.654,1.051,0.054,0.103,0.023,0.342,0.428,1.051,1.051,1.051,2,0,2,4,1,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0,1,1,0,0.095,0.956,0,0,1,4,2,2,0,0.014,0,0,1.065,1.065,1.065,3.096,0.336,0.299,0.802,0.158,2.445,0.96,0.312,0.336,0.312,3,2,1,6,1,0,0,0,0,4,0,2,4,0,0,1,1,0,1,3,2,0,0.12,0.216,0,0,1,0,6,5,5,0,0.087,0,0,0.422,0.422,0.393
SEA,2021,SEA,2021020014,SEA,NSH,AWAY,20211014,Team Level,all,0.4993,0.4457,0.4265,3600,20.94,3.051,1.269,4.774,0.66,11.238,8.008,3.019,3.131,3.097,26,3,12,41,4,1,0,10,0,7,7,22,25,4,11,31,22,7,5,20,6,3,0.483,0.705,1.863,0,1,3,42.821,29,30.111,2,0.29,0.113,0.113,3.228,3.313,3.288,28.19,3.06,2.202,6.677,0.999,15.807,10.255,2.921,2.915,2.783,30,9,12,51,3,3,1,8,2,10,13,27,36,4,11,39,16,7,10,26,9,4,0.843,1.002,1.214,0,1,2,48.513,39,37.324,4,0.513,0.994,0.994,2.579,2.466,2.404
SEA,2021,SEA,2021020014,SEA,NSH,AWAY,20211014,Team Level,5on5,0.3468,0.4648,0.4706,3066,16.941,1.083,1.091,4.35,0.581,9.845,7.049,1.057,1.164,1.135,21,3,9,33,1,1,0,8,0,7,7,20,23,3,9,23,22,7,5,19,5,0,0.474,0.61,0,0,1,0,34.821,24,25.111,2,0.227,0.113,0.113,1.197,1.282,1.263,19.848,2.04,1.431,4.434,0.605,10.589,7.901,1.961,1.896,1.823,21,6,11,38,2,2,1,5,2,5,11,19,25,4,11,32,15,7,9,18,6,3,0.482,0.699,0.86,0,0,2,35.513,27,25.324,4,0.303,0.64,0.64,1.704,1.591,1.567
SEA,2021,SEA,2021020014,SEA,NSH,AWAY,20211014,Team Level,4on5,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.247,0.683,0.473,1.442,0.235,2.773,1.394,0.649,0.683,0.649,6,1,0,7,0,1,0,3,0,1,2,6,7,0,0,2,0,0,0,5,1,1,0.242,0.087,0.354,0,0,0,7,7,7,0,0.123,0.354,0.354,0.452,0.452,0.444
SEA,2021,SEA,2021020014,SEA,NSH,AWAY,20211014,Team Level,5on4,1,1,1,155,2.345,0.917,0.124,0.321,0.055,1.051,0.531,0.911,0.917,0.911,3,0,1,4,2,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,2,0.009,0,0.908,0,0,2,4,3,3,0,0.049,0,0,0.966,0.966,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,2021,SEA,2021020028,SEA,CBJ,AWAY,20211016,Team Level,other,0.1104,0.3333,0.3333,0,0.718,0.018,0.029,0.148,0.024,0.316,0.465,0.018,0.018,0.018,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0.018,0,0,0,0,0,2,1,1,0,0.008,0,0,0.026,0.026,0.026,1.673,0.145,0.119,0.292,0.049,0.689,0.707,0.145,0.145,0.145,2,0,2,4,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0.043,0.103,0,1,0,0,4,2,2,0,0.031,0,0,0.176,0.176,0.176
SEA,2021,SEA,2021020028,SEA,CBJ,AWAY,20211016,Team Level,all,0.3805,0.4486,0.4714,3736,22.734,1.52,1.605,5.446,0.779,13.597,10.053,1.498,1.609,1.586,20,13,15,48,1,2,0,4,1,10,15,19,32,0,0,25,24,1,5,29,3,1,0.896,0.38,0.244,1,0,0,50.189,33,34.474,3,0.332,0.276,0.276,1.576,1.67,1.66,26.862,2.475,1.771,5.828,0.83,15.091,11.004,2.387,2.346,2.262,25,12,22,59,2,1,0,9,0,15,10,23,35,1,2,29,29,6,13,30,5,2,1.197,0.51,0.769,2,0,0,56.17,37,35.115,5,0.368,0.539,0.539,2.304,2.179,2.155
SEA,2021,SEA,2021020028,SEA,CBJ,AWAY,20211016,Team Level,5on5,0.3897,0.449,0.4615,3616,20.983,1.488,1.468,5.072,0.705,12.152,9.115,1.466,1.578,1.554,19,11,14,44,1,2,0,4,1,9,13,18,29,0,0,23,22,1,4,26,3,1,0.864,0.38,0.244,1,0,0,46.189,30,31.474,3,0.295,0.276,0.276,1.507,1.601,1.591,25.19,2.33,1.653,5.536,0.782,14.402,10.297,2.242,2.201,2.117,23,12,19,54,1,1,0,9,0,15,9,22,34,1,2,27,28,6,13,29,4,2,1.154,0.407,0.769,1,0,0,51.17,35,33.115,5,0.337,0.539,0.539,2.128,2.003,1.979
SEA,2021,SEA,2021020028,SEA,CBJ,AWAY,20211016,Team Level,4on5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,2021,SEA,2021020028,SEA,CBJ,AWAY,20211016,Team Level,5on4,1,0.6667,1,120,1.034,0.013,0.109,0.226,0.05,1.129,0.473,0.013,0.013,0.013,0,2,0,2,0,0,0,0,0,1,1,0,2,0,0,1,2,0,1,2,0,0,0.013,0,0,0,0,0,2,2,2,0,0.029,0,0,0.043,0.043,0.043,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SEA,2021,SEA,2021020036,SEA,PHI,AWAY,20211018,Team Level,other,0,0.5,0,120,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1.481,0.093,0.065,0.357,0.043,0.672,0.769,0.093,0.093,0.093,1,1,0,2,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,2,0,0,0.093,0,0,0,0,0,2,2,2,0,0.015,0,0,0.108,0.108,0.108
